Company Name	Position Title	Position Type	Location	Company Stage	Monthly Salary	Monthly Stock/ Stipend	Annualized Base Salary	Stock/ Stipend per Year	Signing Bonus	Additional Benefits	Did You Negotiate the Offer?	Did You Accept the Offer?	Time Frame From First Interview Invitation to Offer in Weeks	Sex	Degree Level	Last Year of College	Last School Attended	Major	Additional Information	Intern Conversion	Base Salary	Base Salary Rate	Housing Stipend	Stock Bonuses/Benefits	Stock in currency or number of units	Stock Vesting Schedule Details	Annualized Recurring Renumeration (inc. stock and stipend)	Recurring Renumeration per Month (inc. stock and stipend)	Total First Year Annualized Renumeration(including Signon & Relocation)	Timestamp
Google	Software engineering internship	Intern	Mountain View California	Series D+	6666.666667	3000	80000	36000		Google Benefits	No	Yes	13	Male	Bachelors	Junior	Top 10 CS school	Computer Science			80000	Per year	3000	0	USD		"$116,000 "	"$9,667 "	"$116,000 "	11/30/2016 19:00
Midsize business analytics / big data company	Software Engineer	Full Time	"Washington, D.C."	Private	9166.666667	0	110000	0	50000	"4 weeks vacation/personal days, $5k/yr 401k matching, smartphone/plan, gym membership, some health / vision / disability benefits, free food sometimes"	No	Yes	3	Male	Bachelors	Senior	University of Virginia	Computer Engineering		No	110000	Per year	0	0	No Stock Offered	n/a	"$110,000 "	"$9,167 "	"$160,000 "	11/30/2016 19:09
Facebook	"Software Engineering Intern, effectively"	Intern	California	Public	8000	0	96000	0		food	No	Still considering	4	Male	Bachelors	Junior	Ivy League	tech related		No	8000	Per month		0	No Stock Offered		"$96,000 "	"$8,000 "	"$96,000 "	11/30/2016 19:11
HP Inc	Software Engineer	Full Time	"Vancouver, WA"	Public	6325	62.5	75900	750	9500		Yes	Yes		Female	Bachelors	post-bacc	Oregon State	Computer Science	9 month internship with same group at time of graduation	Yes	75900	Per year		3000	USD		"$76,650 "	"$6,388 "	"$86,150 "	11/30/2016 19:15
MongoDB	Software Engineering Intern	Intern	"New York, New York"	Series D+	6933.333333	2280	83200	27360	1250		Prefer not to disclose	Yes		Male	Bachelors	Junior	Top 15	Computer Science			40	Per hour	2280	0	USD		"$110,560 "	"$9,213 "	"$111,810 "	11/30/2016 19:17
Cerner	SW Engineer	Full Time	PA	Public	5750	0	69000	0			No	Yes		Male	Bachelors	Senior				Yes	69000	Per year		0	No Stock Offered		"$69,000 "	"$5,750 "	"$69,000 "	11/30/2016 19:21
Yext	Software Engineering Intern	Intern	"New York, NY"	Series D+	7200	0	86400	0	5000	Two free seamless orders a day (up to $17 each) + free food. 	No	Yes	4	Prefer Not to Disclose	Bachelors	Junior	Non-target school	Computer Science and/or Computer Engineering	Two technical phone rounds was the process. The internship will be ~12 weeks.	No	7200	Per month	0	0	No Stock Offered		"$86,400 "	"$7,200 "	"$91,400 "	11/30/2016 19:22
Private Contractor for Govt Entities	Software Engineer 1	Full Time	Central New York	Seed	5000	0	60000	0		Gym membership	Yes	Yes		Male	High School	Junior	State School	Computer Information Science		Yes	60000	Per year		0	No Stock Offered		"$60,000 "	"$5,000 "	"$60,000 "	11/30/2016 19:30
Facebook	Software Engineer Intern	Intern	Bay Area	Public	8000	1000	96000	12000	500	"free food, gym, the whole shabang"	No	Yes	5	Prefer Not to Disclose	Bachelors	Junior	UMass	Computer Science		No	8000	Per month	1000	0	No Stock Offered		"$108,000 "	"$9,000 "	"$108,500 "	11/30/2016 19:31
Ford	FCG	Full Time	Michigan	Public	6150	0	73800	0			No	Yes	3	Male	Bachelors	Senior	University of Michigan	Computer Science		No	73800	Per year		0	No Stock Offered		"$73,800 "	"$6,150 "	"$73,800 "	11/30/2016 19:32
Workday		Intern	"Pleasanton, CA"	Public	6933.333333	1300	83200	15600	0		No	Yes	3	Male	Bachelors	Junior				No	40	Per hour	1300	0	USD		"$98,800 "	"$8,233 "	"$98,800 "	11/30/2016 19:43
Public FinTech	Software Developer	Intern	Toronto	Public	4166.666667	0	50000	0	0					Male	Bachelors	Sophomore	Canadian University	CS			50000	Per year	0	0	No Stock Offered		"$50,000 "	"$4,167 "	"$50,000 "	11/30/2016 19:42
IMC		Full Time	"Chicago, Il"	Private	9166.666667	208.3333333	110000	2500	40000	"Free lunch, 100% of health life dental insurance, gym membership"	No	Yes		Male	Bachelors	Senior	UIUC	Computer Science			110000	Per year		10000	USD		"$112,500 "	"$9,375 "	"$152,500 "	11/30/2016 19:43
Airbnb	Software Engineering Intern	Intern	SF	Series D+	6933.333333	4000	83200	48000			No	Yes	6	Male	Bachelors					No	40	Per hour	4000	0	No Stock Offered		"$131,200 "	"$10,933 "	"$131,200 "	11/30/2016 19:45
Pinterest	Software engineering intern 	Intern	San Francisco 	Series D+	9000	3000	108000	36000			No			Male	Bachelors	Junior	Top 20	Computer Science		No	9000	Per month	3000	0	USD		"$144,000 "	"$12,000 "	"$144,000 "	11/30/2016 19:47
Microsoft		Intern	Redmond	Public	7200	1300	86400	15600	3000	"Gym, free buses, housing is choice between $4000 or company housing with deduction (subsidized rent), airfares plus 300 relocation"	No	Yes	5	Male	Bachelors	Junior	BE degree at a decently ranked uni in Oceania	Bachelor of Engineering in Software Engineering	"1st interview on campus, 2nd ""on-site"" at a sales office in Sydney, offer/rejection was given in person after four on-site interviews. Only advised the group at MS at time of offer, don't learn your product/team until first day orientation. "		7200	Per month	1300	0	No Stock Offered		"$102,000 "	"$8,500 "	"$105,000 "	11/30/2016 19:55
Facebook	Software Engineer	Full Time	California	Public	8916.666667	3125	107000	37500	25000		Yes	Still considering	8	Male	Bachelors	Senior		Computer Science	"Had an internship the previous summer, but it wasn't at a well known company. Just get some experience and go hard on recruiting!"	No	107000	Per year		150000	USD	4 years	"$144,500 "	"$12,042 "	"$169,500 "	11/30/2016 20:02
Amazon	Software Engineer	Full Time	Seattle	Public	8583.333333	1354.166667	103000	16250	18500		Yes	Still considering	8	Male	Bachelors	Senior		CS		No	103000	Per year		65000	USD	4 years	"$119,250 "	"$9,938 "	"$137,750 "	11/30/2016 20:03
Facebook	Software Engineer	Full Time	"New York, NY"	Public	8916.666667	3333.333333	107000	40000	100000	free meals	Prefer not to disclose	Yes		Female	Bachelors	Senior	CMU	Computer Science		Yes	107000	Per year		160000	USD	4 years vesting schedule	"$147,000 "	"$12,250 "	"$247,000 "	11/30/2016 20:05
Asana	Data Scientist	Full Time	"San Francisco, CA"	Series C	9583.333333	2291.666667	115000	27500	0	Would not negotiate against competing offers	No	No	6	Male	Bachelors	Senior	Ivy			No	115000	Per year		110000	USD		"$142,500 "	"$11,875 "	"$142,500 "	11/30/2016 20:05
Formlabs	Data Analyst	Intern	Boston	Series B	3750	0	45000	0	37500	3 free lunches and unlimited 3D printing	No	Still considering	5	Male	Bachelors	Sophomore	Harvard	CS		No	3750	Per month		0	No Stock Offered		"$45,000 "	"$3,750 "	"$82,500 "	11/30/2016 20:11
Amazon	SDE Intern	Intern	"Seattle, Washington"	Public	7760	0	93120	0	38150	Subsidized housing @ $800 per month		Still considering	2	Male	Bachelors	Junior	University of Illinois at Urbana-Champaign	Computer Engineering			7760	Per month	0	0	No Stock Offered		"$93,120 "	"$7,760 "	"$131,270 "	11/30/2016 20:13
Twitter	SE 1	Full Time	SF	Public	10000	3125	120000	37500	18500		No	Yes	2	Male	Bachelors	Graduate	UT Arlington	CS		No	120000	Per year		150000	USD	4 years vesting	"$157,500 "	"$13,125 "	"$176,000 "	11/30/2016 20:19
Pre-Series A Marketplace	Lead Engineer	Full Time	"Vancouver, BC, Canada"	Seed	8333.333333	0	100000	0		"laptop, ergonomics gear, monitor, $750 a year in massages"	Yes	Yes	2	Male	Bachelors					No	100000	Per year		10	percent ownership		"$100,000 "	"$8,333 "	"$100,000 "	11/30/2016 20:22
Google	SWE Intern	Intern	US	Public	6666	3000	79992	36000			No	Yes	2	Male	Bachelors	Junior	UCLA	CS		No	6666	Per month	3000	0	USD		"$115,992 "	"$9,666 "	"$115,992 "	11/30/2016 20:24
Facebook	SWE Intern	Intern	Menlo Park	Public	8000	1000	96000	12000			No	No	2	Male	Bachelors	Junior	UCLA	CS		No	8000	Per month	1000	0	USD		"$108,000 "	"$9,000 "	"$108,000 "	11/30/2016 20:26
USAA 	IT intern 	Intern	"San Antonio, TX"	Public	4333.333333	800	52000	9600			No	No		Male	Bachelors	Junior					25	Per hour	800	0	USD		"$61,600 "	"$5,133 "	"$61,600 "	11/30/2016 20:26
Microsoft	SDE Intern	Intern	Redmond	Public	7200	1333	86400	15996			No	No	20	Male	Bachelors	Junior	UCLA	CS		No	7200	Per month	1333	0	USD		"$102,396 "	"$8,533 "	"$102,396 "	11/30/2016 20:27
Facebook	Software Engineer	Full Time	"Seattle, WA"	Public	8916.666667	13125	107000	157500	30000		No	Yes	5	Male	Bachelors	Senior	East coast state school	Computer Science		No	107000	Per year	10000	150000	USD	4 years vesting schedule with 1 year cliff	"$264,500 "	"$22,042 "	"$294,500 "	11/30/2016 20:32
Google	Software Engineer	Full Time	"Mountain View, CA"	Public	9166.666667	7500	110000	90000	15000		No	No	8	Male	Bachelors	Senior	East coast state school	Computer Science		No	110000	Per year	7500	135	Number of Units	4 years vesting schedule with 1 year cliff.	"$200,000 "	"$16,667 "	"$215,000 "	11/30/2016 20:33
Two Sigma	Engineering	Intern	New York City	Private	10416.66667	1500	125000	18000	5000		No	No		Male	Bachelors	Junior	Princeton			No	125000	Per year	1500	0	USD		"$143,000 "	"$11,917 "	"$148,000 "	11/30/2016 20:36
Google	Software Engineer	Full Time	"Mountain View, CA"	Public	9333.333333	2083.333333	112000	25000	18500	"Free meals, busses, gym membership, etc."	No	Still considering	15	Male	Bachelors	Senior				No	112000	Per year		100000	USD	4 year vesting	"$137,000 "	"$11,417 "	"$155,500 "	11/30/2016 20:38
Accenture	Technology Analyst 	Full Time	New York 	Public	7083.333333	0	85000	0	10000		Yes		3	Female	Bachelors	Senior	Liberal Arts	Computer Science		No	85000	Per year		5000	No Stock Offered		"$85,000 "	"$7,083 "	"$95,000 "	11/30/2016 20:39
Bluebeam Software	Software Engineer	Full Time	"Pasadena, CA"	Private	5833.333333	0	70000	0	2500		No	No	6	Male	Bachelors	Senior	UT Austin	Computer Engineering		No	70000	Per year		0	No Stock Offered		"$70,000 "	"$5,833 "	"$72,500 "	11/30/2016 20:39
General Electric	Digital Technology Leadership Program	Full Time	"San Ramon, CA"	Public	6833.333333	0	82000	0			No	No	4	Female	Bachelors	Senior	Liberal Arts	Computer Science		No	82000	Per year		5000	No Stock Offered		"$82,000 "	"$6,833 "	"$82,000 "	11/30/2016 20:41
Salesforce	Software Engineer	Intern	San Francisco	Public	7280	0	87360	0		Corporate housing	No	Yes	4	Female	Bachelors	Senior	Liberal Arts	Computer Science			42	Per hour		0	No Stock Offered		"$87,360 "	"$7,280 "	"$87,360 "	11/30/2016 20:43
Amazon	SDE 1	Full Time	"Seattle, WA"	Public	8583.333333	1354.166667	103000	16250	26000		No	Yes		Male	Bachelors	Graduate	Columbia University	Computer Science		Yes	103000	Per year	0	65000	USD	"year 1: 5%, year 2: 15%, then 20% / 6 months"	"$119,250 "	"$9,938 "	"$145,250 "	11/30/2016 20:54
Square	Intern	Intern	Sf	Public	6933.333333	2500	83200	30000	0		No	Yes	5	Male	Bachelors	Junior				No	40	Per hour	2500	0	No Stock Offered		"$113,200 "	"$9,433 "	"$113,200 "	11/30/2016 20:58
Pure Storage	Software Engineer	Full Time	West Coast	Public	9166.666667	0	110000	0	10000		No	Still considering		Prefer Not to Disclose	Bachelors	Senior	University of Texas	Computer Science		Yes	110000	Per year		5000	Number of Units		"$110,000 "	"$9,167 "	"$120,000 "	11/30/2016 20:59
Tripadvisor	Software Engineering Internship	Intern	"Needham, MA"	Public	6066.666667	0	72800	0	4000	"Gym + lunch, boston transportation stuff"	No	Yes	5	Male	Bachelors	Sophomore	RPI	CS / IT & Web Science -> Infosec 	12 weeks over the summer	No	35	Per hour	0	0	No Stock Offered		"$72,800 "	"$6,067 "	"$76,800 "	11/30/2016 21:11
Too small to name	Software Development Intern	Intern	Colorado Springs	Private	3466.666667	0	41600	0	0		Yes	Yes		Male	Bachelors	Junior	University Of Colorado Colorado Springs	Computer Engineering			20	Per hour	0	0	USD		"$41,600 "	"$3,467 "	"$41,600 "	11/30/2016 21:11
Markit Digital	Web Developer	Full Time	"Boulder, CO"	Public	6500	0	78000	0			No	Yes	4	Male	High School					No	78000	Per year		0	No Stock Offered		"$78,000 "	"$6,500 "	"$78,000 "	11/30/2016 21:12
Microsoft	Software Engineer 	Full Time	Redmond	Public	8833.333333	1250	106000	15000	30000	Too many benefits to mention. Easily googlable	Yes	Yes	4	Male	Bachelors	Senior	UCF	Computer Science 		No	106000	Per year	0	60000	USD	"3.5 years, 25% per year starting at 6 months"	"$121,000 "	"$10,083 "	"$151,000 "	11/30/2016 21:15
Google	Software Engineer	Full Time	"Boulder, CO"	Public	7916.666667	0	95000	0	6000		No	Yes		Male	Bachelors	Senior	Stony Brook	Computer Science & Physics		Yes	95000	Per year		135	Number of Units	4 years vesting schedule with 1 year cliff	"$95,000 "	"$7,917 "	"$101,000 "	11/30/2016 21:22
Qualtrics	Software Engineer	Full Time	Seattle	Series B	8750	0	105000	0	12500		No	Yes	4	Male	Bachelors	Senior		Computer Science		No	105000	Per year		5000	Number of Units		"$105,000 "	"$8,750 "	"$117,500 "	11/30/2016 21:26
American Express	Software Engineer	Full Time	NYC	Public	7083.333333	0	85000	0	10000		No	No		Male	Bachelors	Senior				Yes	85000	Per year		0	No Stock Offered		"$85,000 "	"$7,083 "	"$95,000 "	11/30/2016 21:27
Sandia National Labs	Year-Round Intern SWE	Intern	Remote Postion	Government	3605.333333	0	43264	0		Health Insurance	No	Yes	4	Male	Bachelors	Sophomore	Midwest State School	CS		Yes	20.8	Per hour		0	No Stock Offered		"$43,264 "	"$3,605 "	"$43,264 "	11/30/2016 21:29
Midsize Financial Services	Associate Software Engineer	Full Time	"Seattle, WA"	Public	6916.666667	0	83000	0	0	"gym, transit,  breakfast"	No	Yes		Male	Bachelors	Super Senior	University of Washington	Computer Science and Software Engineering		Yes	83000	Per year	0	0	USD	5	"$83,000 "	"$6,917 "	"$83,000 "	11/30/2016 21:37
Facebook	Technical Program Manager	Intern	"Menlo Park, CA, USA"	Public	6800	1000	81600	12000			No	Yes	2	Female	Bachelors	Junior	UCSC	TIM/CS		No	6800	Per month	1000	0	No Stock Offered		"$93,600 "	"$7,800 "	"$93,600 "	11/30/2016 21:40
Qualcomm	Software Engineering	Intern	"San Diego, CA, USA"	Public	6586.666667	0	79040	0			No	No		Female	Bachelors	Junior	UCSC	TIM/CS		No	38	Per hour		0	No Stock Offered		"$79,040 "	"$6,587 "	"$79,040 "	11/30/2016 21:41
Nordstrom	Engineer 1	Full Time	Seattle	Public	7500	0	90000	0			No	Yes		Prefer Not to Disclose	Bachelors	Graduate	Western	Computer Science		Yes	90000	Per year		0	No Stock Offered		"$90,000 "	"$7,500 "	"$90,000 "	11/30/2016 21:56
Amazon	Software Development Engineer	Full Time	Seattle	Public	9166.666667	1250	110000	15000	55000		Yes	Yes	5	Male	Bachelors	Graduate		CS		No	110000	Per year	0	60000	USD	4 years	"$125,000 "	"$10,417 "	"$180,000 "	11/30/2016 21:58
IMC International Markets	Software Dev Intern	Intern	"Chicago, Il"	Private	8000	0	96000	0		"Free lunch, free very nice downtown housing, free CTA"	No	Still considering	5	Prefer Not to Disclose	Bachelors	Junior	Top 5				8000	Per month		0	No Stock Offered		"$96,000 "	"$8,000 "	"$96,000 "	11/30/2016 21:58
Facebook	Software Engineer	Full Time	Menlo Park	Public	8916.666667	3125	107000	37500	50000	"Free meals, gym membership, valet parking, typical facebook perks"	Yes	Yes	4	Female	Bachelors	Senior	Cornell University	"Computer Science, Economics"		No	107000	Per year		150000	USD	"4 years vesting schedule, 1 year cliff"	"$144,500 "	"$12,042 "	"$194,500 "	11/30/2016 22:00
Morgan Stanley	Business Analyst	Full Time	"New York, NY"	Public	7083.333333	0	85000	0	10000		No	No	5	Male	Bachelors	Senior	Ivy League	Computer Science		No	85000	Per year		0	No Stock Offered		"$85,000 "	"$7,083 "	"$95,000 "	11/30/2016 22:04
Microsoft	Software Engineer	Intern	"Redmond, WA"	Public	7200	1333.33	86400	15999.96		Gym Member	No	No	43	Male	Bachelors	Sophomore	"Top 20 Private, Non-Target CS"	Computer Science		No	7200	Per month	1333.33	0	No Stock Offered		"$102,400 "	"$8,533 "	"$102,400 "	12/1/2016 0:34
Wayfair	Software Engineer	Full Time	Boston	Public	7500	0	90000	0	5000		No	Yes	4	Female	Bachelors	Graduate		Non CS-Major		No	90000	Per year	0	600	Number of Units		"$90,000 "	"$7,500 "	"$95,000 "	11/30/2016 22:10
BlackRock		Full Time	New York City	Public	6666.666667	0	80000	0	0	Great health and dental benefits	No	No		Male	Bachelors	Senior		Computer Science		Yes	80000	Per year	0	0	No Stock Offered		"$80,000 "	"$6,667 "	"$80,000 "	11/30/2016 22:11
1-5 person startup in market reporting	Software Engineer	Intern	San Francisco	Seed	4333.333333	2500	52000	30000			No	Yes	2	Male	Bachelors	Freshman	University of Waterloo	Systems Design Engineering		No	25	Per hour	2500	0	No Stock Offered		"$82,000 "	"$6,833 "	"$82,000 "	11/30/2016 22:19
23andMe	Software Engineer	Full Time	"Mountain View, CA"	Series D+	9583.333333	0	115000	0	5000	"free lunch, free in-house gym classes, free CalTrain pass"	Yes	Yes	4	Male	Masters	Graduate	California State College	Computer Science	Technical interviews were not nearly as hard as the Big 4. Mostly behavioral questions were asked.	No	115000	Per year	0	11500	Number of Units	4 years vesting schedule with 1 year cliff	"$115,000 "	"$9,583 "	"$120,000 "	11/30/2016 22:23
LinkedIn	Software Engineering Intern	Intern	"Sunnyvale, California"	Public	7800	0	93600	0		"Free breakfast, lunch, dinner, gym, personal training, and LinkedIn Premium"	No	Yes	3	Male	Bachelors	Junior	Michigan State University	Computer Science		No	45	Per hour		0	No Stock Offered		"$93,600 "	"$7,800 "	"$93,600 "	11/30/2016 22:28
Affirm	Software Engineer	Full Time	San Francisco	Series D+	10833.33333	0	130000	0	5000	"Catered lunch & dinner, monthly fitness reimbursement, public transport subsidy, monthly cellphone bill reimbursement, stipend for purchases with Affirm, etc."	Yes	Yes	3	Male	Bachelors	Senior	Ivy League	CS		No	130000	Per year		40000	Number of Units	4 years vesting schedule with 1 year cliff	"$130,000 "	"$10,833 "	"$135,000 "	11/30/2016 22:31
Google	Software Engineer	Full Time	"Mountain View, CA"	Public	9333.333333	0	112000	0	22500		Yes	Yes	3	Female	Bachelors	Senior	Ivy League	Computer Science		No	112000	Per year		250	Number of Units		"$112,000 "	"$9,333 "	"$134,500 "	11/30/2016 22:32
LinkedIn	Software Engineer	Full Time	"Mountain View, CA"	Public	10000	3125	120000	37500	10000		No	No		Female	Bachelors	Senior	Ivy League	Computer Science		Yes	120000	Per year		150000	USD		"$157,500 "	"$13,125 "	"$167,500 "	11/30/2016 22:33
Tableau Software	Software Engineer	Full Time	Seattle	Public	8333.333333	0	100000	0	5000		No	Yes		Male	Bachelors	Senior	UIUC	Computer Engineering		Yes	100000	Per year	0	3200	Number of Units	"4 year vesting, 1 year cliff"	"$100,000 "	"$8,333 "	"$105,000 "	11/30/2016 22:33
Intel	Software Engineer	Full Time	"Hillsboro, OR"	Public	6166.666667	0	74000	0	9800		No	No		Female	Bachelors	Senior	Ivy League	Computer Science		Yes	74000	Per year		0	No Stock Offered		"$74,000 "	"$6,167 "	"$83,800 "	11/30/2016 22:36
Social Network	Data Scientist	Full Time	California	Public	10416.66667	3125	125000	37500	15000	usual	Prefer not to disclose	Still considering	0	Prefer Not to Disclose	Masters	Graduate	UC BERKELEY	CS		Yes	125000	Per year		150000	USD	usual	"$162,500 "	"$13,542 "	"$177,500 "	11/30/2016 22:38
IBM	software engineeer	Full Time	austin	Public	6166.666667	4.166666667	74000	50			Yes	Yes		Male	Bachelors	Senior				No	74000	Per year	0	200	USD		"$74,050 "	"$6,171 "	"$74,050 "	11/30/2016 22:44
Carbonite	Software Developer	Full Time	Boston	Public	8166.666667	208.3333333	98000	2500	5000		No	Yes		Male	Masters						98000	Per year		10000	USD		"$100,500 "	"$8,375 "	"$105,500 "	11/30/2016 22:55
Capital One	TDP Intern	Intern	McLean	Public	5000	0	60000	0	3000		No	Still considering	3	Female	Bachelors	Junior	University of Michigan	Computer Science		No	5000	Per month		0	No Stock Offered		"$60,000 "	"$5,000 "	"$63,000 "	11/30/2016 22:57
Apple	SWE	Intern	Cupertino	Public	6200	0	74400	0	0			Yes		Male	Bachelors	Junior	University of Central FL	CS	Siri Server QA	No	6200	Per month		0	No Stock Offered		"$74,400 "	"$6,200 "	"$74,400 "	11/30/2016 23:02
Capital One	Associate Software Engineer	Full Time	DC	Public	7333.333333	0	88000	0	9000	"Free Snacks, subsidized lunch, subsidized gym membership"	No	Yes	0	Male	Bachelors	Senior	The Ohio State University	Computer Science & Engineering		No	88000	Per year	0	0	No Stock Offered	0	"$88,000 "	"$7,333 "	"$97,000 "	11/30/2016 23:05
Google	SWE L3	Full Time	"New York City, NY"	Public	9333.333333	0	112000	0	3500	It's Google	No	Yes		Prefer Not to Disclose	Bachelors	Senior	#1 CS School in the World	CS and Math		Yes	112000	Per year		135	Number of Units	"4 years, 1 year cliff"	"$112,000 "	"$9,333 "	"$115,500 "	11/30/2016 23:10
Navient	Intern 	Intern	Indiana	Public	3813.333333	0	45760	0	0	n/a	No	I have been informally offered and told to state when I am ready to work. 	0	Male	Bachelors	Senior	Midwest State school	Computer Science		Yes	22	Per hour	0	0	USD	n/a 	"$45,760 "	"$3,813 "	"$45,760 "	11/30/2016 23:18
Arista Networks	Software Engineering Intern	Intern	"Vancouver, BC, Canada"	Public	5000	0	60000	0			No	Yes		Male	Bachelors	Senior	University of Victoria	BSEng		No	60000	Per year		0	No Stock Offered		"$60,000 "	"$5,000 "	"$60,000 "	11/30/2016 23:20
Facebook		Full Time	Bay Area	Public	8750	2916.666667	105000	35000	100000		Yes	Yes		Male	Bachelors	Senior				Yes	105000	Per year		140000	USD	4 year with 1 year cliff	"$140,000 "	"$11,667 "	"$240,000 "	11/30/2016 23:23
"All industries (well, most)"	Systems Design Engineer	Full Time	CA	Public	8666.666667	2041.666667	104000	24500	20000	None	No	Yes	3	Prefer Not to Disclose	Masters	Graduate	One of the top private schools	ELectrical & Computer Engineering		Yes	50	Per hour	1000	50000	USD	4 years vesting	"$128,500 "	"$10,708 "	"$148,500 "	11/30/2016 23:26
Target Corporation	Technology Leadership Program - Software Engineer	Full Time	"Minneapolis, MN"	Public	5916.666667	0	71000	0			Yes	Yes	16	Male	Bachelors	Senior	Midwest State College	Computer Science		No	71000	Per year		0	No Stock Offered		"$71,000 "	"$5,917 "	"$71,000 "	11/30/2016 23:32
Bloomberg	Software Engineering Intern	Intern	NYC 	Private	6933.333333	1700	83200	20400	2000	"Free housing, all normal benefits of large tech firm"	No	Yes	4	Male	Bachelors	Junior	Midwest top 15 school	Computer science 		No	40	Per hour	1700	0	USD		"$103,600 "	"$8,633 "	"$105,600 "	11/30/2016 23:33
Target	Technology Leadership Program	Full Time	"Minneapolis, MN"	Public	5833.333333	0	70000	0	5000		No	Yes	6	Male	Bachelors	Super Senior	East Coast College	Computer Science		No	70000	Per year		0	No Stock Offered		"$70,000 "	"$5,833 "	"$75,000 "	11/30/2016 23:33
Ford Motor Company	Business Analyst	Full Time	"Dearborn, Michigan"	Series D+	5916.666667	0	71000	0	4500	"Yearly bonus, discount vehicles"	No	Yes		Male	Bachelors	Senior	Indiana University	Computer Information Systems		Yes	71000	Per year		0	No Stock Offered		"$71,000 "	"$5,917 "	"$75,500 "	11/30/2016 23:37
Facebook	Software Engineering Intern	Intern	"Menlo Park,CA"	Public	8000	0	96000	0		"Free housing, free food, wellness benefits, etc"	No	Yes		Female	Bachelors	Sophomore	Midwest School	Computer Science	"Got internship as a return offer from working with them the previous summer (summer 2016), length is 12 weeks "		8000	Per month		0	No Stock Offered		"$96,000 "	"$8,000 "	"$96,000 "	11/30/2016 23:45
Amazon	Software Engineer	Full Time	Bay Area	Public	9833.333333	1562.5	118000	18750	30000	One yr completion bonus: 20k	No	Yes	5	Male	Masters	Graduate	CMU	Software Engineering		No	118000	Per year		75000	USD	4 years	"$136,750 "	"$11,396 "	"$166,750 "	11/30/2016 23:46
Facebook	SWE Intern	Intern	Seattle	Public	8000	750	96000	9000		fb perks	No	Yes	5	Male	Bachelors	Junior	UC		Fall Internship		8000	Per month	750	0	No Stock Offered		"$105,000 "	"$8,750 "	"$105,000 "	11/30/2016 23:53
Pinterest		Intern	San Francisco	Series C	9000	3000	108000	36000			No	Yes	3	Male	Bachelors	Junior				No	9000	Per month	3000	0	No Stock Offered		"$144,000 "	"$12,000 "	"$144,000 "	11/30/2016 23:54
Intuit	Software Engineering Intern	Intern	Mountain View	Public	6586.666667	0	79040	0						Male	Bachelors	Junior					38	Per hour		0	No Stock Offered		"$79,040 "	"$6,587 "	"$79,040 "	12/1/2016 0:00
Microsoft	Explorer Intern	Intern	"Redmond, WA"	Public	5373.333333	1333	64480	15996		"Gym membership, transportation stipend"	No	Yes	3	Female	Bachelors	Sophomore	Georgia Tech	Computer Science		No	31	Per hour	1333	0	No Stock Offered		"$80,476 "	"$6,706 "	"$80,476 "	12/1/2016 0:03
Wayfair	Internal Consulting Analyst for Operations Product Innovation	Full Time	"Boston, MA"	Public	5000	0	60000	0		"401k Match, Subsidized Gym Membership, Free Snacks, 3 Kegs, Wine, Women in Business Events, Major focus on Collaboration, PLUS THAT EMPLOYEE DISCOUNT"	No	Yes	2	Female	Bachelors	Senior	Babson College	"Business Administration (focus on IT Management, Product Design, and Data Analytics)"			60000	Per year		100	Number of Units	5 years	"$60,000 "	"$5,000 "	"$60,000 "	12/1/2016 0:10
Microsoft		Intern	"Redmond, WA"	Public	7200	1444	86400	17328						Male	Bachelors					No	7200	Per month	1444	0	USD		"$103,728 "	"$8,644 "	"$103,728 "	12/1/2016 0:10
FinTech		Full Time	"Toronto, Canada"	Public	5833.333333	0	70000	0			Yes	Yes		Male	Bachelors	Graduate		Computer science		Yes	70000	Per year		0	CAD		"$70,000 "	"$5,833 "	"$70,000 "	12/1/2016 0:13
Facebook	Software Engineer	Full Time	US	Public	8916.666667	3125	107000	37500	35000		Prefer not to disclose	Still considering		Prefer Not to Disclose	Bachelors	Senior				No	107000	Per year		150000	USD		"$144,500 "	"$12,042 "	"$179,500 "	12/1/2016 0:17
Google	Software Engineer	Full Time	US	Public	9333.333333	2916.666667	112000	35000	25000		Prefer not to disclose	Still considering		Prefer Not to Disclose	Bachelors	Senior				No	112000	Per year		140000	USD		"$147,000 "	"$12,250 "	"$172,000 "	12/1/2016 0:18
Microsoft	Software Engineer Intern	Intern	"Redmond, WA"	Public	7200	0	86400	0		"Gym membership, free drinks, Surface Book, Signature event"	No	No	6	Male	Bachelors	Sophomore		Computer Science			7200	Per month		0	No Stock Offered		"$86,400 "	"$7,200 "	"$86,400 "	12/1/2016 0:22
Cloudreach	Core Operations Analyst	Intern	"Vancouver, BC, Canada"	Series A	2946.666667	0	35360	0			No	Yes		Male	Bachelors	Senior					17	Per hour		0	No Stock Offered		"$35,360 "	"$2,947 "	"$35,360 "	12/1/2016 0:23
Google	SWE Intern	Intern	United States	Public	6666	9000	79992	108000			No	Yes	5	Female	Bachelors	Junior	Small LAC	Computer Science		No	6666	Per month	9000	0	No Stock Offered		"$187,992 "	"$15,666 "	"$187,992 "	12/1/2016 0:30
Cerner	Software engineer	Full Time	Kansas	Public	5416.666667	0	65000	0	5000		Yes	Yes	4	Male	Masters	Graduate		Computer science		No	65000	Per year		0	No Stock Offered		"$65,000 "	"$5,417 "	"$70,000 "	12/1/2016 0:32
